¿Cómo crear una cédula un nit o un documento?,Cedulas / nits
como creo una cedula?,Cedulas / nits
cómo se agregan nits?,Cedulas / nits
como creo un nuevo nit?,Cedulas / nits
desde dónde crean nits?,Cedulas / nits
¿Cómo crear un centro de costos?,centros de costos
como creo un centro de costos?,centros de costos
cómo se agregan centros de costos?,centros de costos
como se agregan centros de costos?,centros de costos
donde se crean los centros de costos?,centros de costos
de donde se pueden agregar centros de costos?,centros de costos
¿Cómo crear un comprobante de pagos?,comprobante de pago
a donde ingreso para crear un comprobante?,comprobante de pago
como creo un comprobante?,comprobante de pago
desde dónde se crean los comprobantes?,comprobante de pago
como creo un comprobante de pago?,comprobante de pago
crear comprobante,comprobante de pago
crear comprobante de pago,comprobante de pago
¿Cómo asignar configuración para la retención en compras?,retencion de compras
como marco un nit con retención de compras?,retencion de compras
como se configura la retención de compras?,retencion de compras
desde qué parte se configura la retención de compras?,retencion de compras
como asigno un nit para retención de compras?,retencion de compras
como marco un nit con retención de compra?,retencion de compras
¿No puedo ver el informe de la auxiliar?,informe auxiliar no visible
desde dónde se ve el informe auxiliar?,informe auxiliar no visible
por qué no puedo ver el informe auxiliar?,informe auxiliar no visible
por qué no puedo ver el informe de la auxiliar?,informe auxiliar no visible
no se ve el informe auxiliar,informe auxiliar no visible
no se ve el informe de la auxiliar,informe auxiliar no visible
no me aparece el informe auxiliar,informe auxiliar no visible
no me aparece la opción de informe auxiliar,informe auxiliar no visible
no me sale el botón de informe auxiliar,informe auxiliar no visible
¿Cómo imprimir un rango de documentos?,imprimir rango documentos
como se imprime un rango de documentos?,imprimir rango documentos
imprimir varios documentos,imprimir rango documentos
imprimir un rango de documentos,imprimir rango documentos
se puede imprimir un rango de documentos?,imprimir rango documentos
como imprimo multiples documentos?,imprimir rango documentos
como hago para imprimir varios documentos?,imprimir rango documentos
¿Cómo generar los certificados de retención?,certificado de retencion
como puedo generar un certificado de retención?,certificado de retencion
desde donde se generan los certificados de retencion?,certificado de retencion
en que parte se pueden generar los certificados de retencion?,certificado de retencion
